Date,Miles,Week Helper,Week (Monday),Month,Year
8/2/2021,1.89,8/2/2021 4:35:18,8/2/2021,Aug,2021
8/4/2021,1.66,8/2/2021 5:37:33,8/2/2021,Aug,2021
8/7/2021,2.01,8/2/2021 11:32:31,8/2/2021,Aug,2021
8/10/2021,1.52,8/9/2021 5:14:12,8/9/2021,Aug,2021
8/12/2021,1.56,8/9/2021 5:35:46,8/9/2021,Aug,2021
8/16/2021,2.11,8/16/2021 11:31:26,8/16/2021,Aug,2021
8/18/2021,1.41,8/16/2021 11:27:41,8/16/2021,Aug,2021
8/21/2021,2.05,8/16/2021 5:24:54,8/16/2021,Aug,2021
8/24/2021,1.45,8/23/2021 6:06:18,8/23/2021,Aug,2021
8/27/2021,1.47,8/23/2021 13:24:11,8/23/2021,Aug,2021
8/30/2021,1.39,8/30/2021 13:38:13,8/30/2021,Aug,2021
9/3/2021,1.78,8/30/2021 6:00:24,8/30/2021,Sep,2021
9/7/2021,1.38,9/6/2021 5:34:34,9/6/2021,Sep,2021
9/8/2021,1.37,9/6/2021 10:07:51,9/6/2021,Sep,2021
9/12/2021,1.39,9/6/2021 5:38:36,9/6/2021,Sep,2021
9/13/2021,1.38,9/13/2021 13:14:07,9/13/2021,Sep,2021
9/14/2021,1.72,9/13/2021 6:23:14,9/13/2021,Sep,2021
9/15/2021,1.71,9/13/2021 6:23:51,9/13/2021,Sep,2021
9/16/2021,1.26,9/13/2021 6:02:57,9/13/2021,Sep,2021
9/17/2021,1.21,9/13/2021 6:07:22,9/13/2021,Sep,2021
9/21/2021,1.44,9/20/2021 13:15:01,9/20/2021,Sep,2021
9/22/2021,1.54,9/20/2021 6:09:12,9/20/2021,Sep,2021
9/23/2021,1.48,9/20/2021 12:55:29,9/20/2021,Sep,2021
10/2/2021,2.03,9/27/2021 13:21:16,9/27/2021,Oct,2021
10/3/2021,1.45,9/27/2021 13:22:17,9/27/2021,Oct,2021
10/5/2021,1.36,10/4/2021 13:20:34,10/4/2021,Oct,2021
10/8/2021,1.74,10/4/2021 5:34:09,10/4/2021,Oct,2021
10/12/2021,1.22,10/11/2021 4:39:51,10/11/2021,Oct,2021
10/13/2021,1.35,10/11/2021 5:10:26,10/11/2021,Oct,2021
10/15/2021,1.19,10/11/2021 5:21:38,10/11/2021,Oct,2021
11/1/2021,1.54,11/1/2021 13:16:04,11/1/2021,Nov,2021
11/8/2021,1.50,11/8/2021 6:01:21,11/8/2021,Nov,2021
11/19/2021,1.38,11/15/2021 7:40:42,11/15/2021,Nov,2021
11/24/2021,1.36,11/22/2021 5:43:04,11/22/2021,Nov,2021
11/25/2021,1.51,11/22/2021 6:17:14,11/22/2021,Nov,2021
5/20/2022,1.09,5/16/2022 7:13:20,5/16/2022,May,2022
5/23/2022,1.35,5/23/2022 6:11:40,5/23/2022,May,2022
5/29/2022,1.34,5/23/2022 6:24:58,5/23/2022,May,2022
6/17/2022,1.34,6/13/2022 13:12:11,6/13/2022,Jun,2022
6/20/2022,1.43,6/20/2022 6:49:53,6/20/2022,Jun,2022
7/1/2022,1.25,6/27/2022 7:27:55,6/27/2022,Jul,2022
7/18/2022,1.13,7/18/2022 7:57:59,7/18/2022,Jul,2022
9/4/2022,1.35,8/29/2022 8:24:37,8/29/2022,Sep,2022
9/12/2022,1.45,9/12/2022 16:40:57,9/12/2022,Sep,2022
9/23/2022,2.61,9/19/2022 4:10:37,9/19/2022,Sep,2022
10/10/2022,1.46,10/10/2022 8:04:45,10/10/2022,Oct,2022
10/16/2022,1.34,10/10/2022 6:07:47,10/10/2022,Oct,2022
10/21/2022,1.31,10/17/2022 7:03:14,10/17/2022,Oct,2022
1/7/2023,1.30,1/2/2023 9:06:32,1/2/2023,Jan,2023
1/13/2023,1.39,1/9/2023 7:15:14,1/9/2023,Jan,2023
1/16/2023,1.34,1/16/2023 9:15:13,1/16/2023,Jan,2023
1/21/2023,1.44,1/16/2023 18:49:52,1/16/2023,Jan,2023
1/30/2023,1.39,1/30/2023 9:03:38,1/30/2023,Jan,2023
2/4/2023,1.41,1/30/2023 8:19:18,1/30/2023,Feb,2023
2/5/2023,1.40,1/30/2023 18:10:08,1/30/2023,Feb,2023
2/24/2023,1.43,2/20/2023 7:02:11,2/20/2023,Feb,2023
3/13/2023,1.45,3/13/2023 4:40:16,3/13/2023,Mar,2023
3/18/2023,1.30,3/13/2023 7:04:11,3/13/2023,Mar,2023
3/27/2023,1.73,3/27/2023 7:44:39,3/27/2023,Mar,2023
4/10/2023,2.06,4/10/2023 7:21:14,4/10/2023,Apr,2023
4/15/2023,1.54,4/10/2023 7:06:54,4/10/2023,Apr,2023
4/24/2023,1.73,4/24/2023 6:59:14,4/24/2023,Apr,2023
5/4/2023,2.23,5/1/2023 6:28:11,5/1/2023,May,2023
5/5/2023,2.28,5/1/2023 7:08:25,5/1/2023,May,2023
5/6/2023,1.97,5/1/2023 16:03:40,5/1/2023,May,2023
5/7/2023,2.01,5/1/2023 7:26:10,5/1/2023,May,2023
5/9/2023,1.03,5/8/2023 4:08:33,5/8/2023,May,2023
5/11/2023,2.55,5/8/2023 16:22:39,5/8/2023,May,2023
5/12/2023,1.65,5/8/2023 17:12:08,5/8/2023,May,2023
5/17/2023,2.12,5/15/2023 7:18:39,5/15/2023,May,2023
5/18/2023,2.98,5/15/2023 7:29:24,5/15/2023,May,2023
5/19/2023,2.19,5/15/2023 7:33:15,5/15/2023,May,2023
5/21/2023,2.18,5/15/2023 12:49:23,5/15/2023,May,2023
5/22/2023,1.95,5/22/2023 8:04:31,5/22/2023,May,2023
5/24/2023,2.04,5/22/2023 14:01:57,5/22/2023,May,2023
5/25/2023,1.90,5/22/2023 15:43:36,5/22/2023,May,2023
5/26/2023,1.91,5/22/2023 6:52:00,5/22/2023,May,2023
5/31/2023,2.06,5/29/2023 4:18:04,5/29/2023,May,2023
6/1/2023,1.98,5/29/2023 6:31:40,5/29/2023,Jun,2023
6/2/2023,2.03,5/29/2023 5:31:36,5/29/2023,Jun,2023
6/3/2023,1.97,5/29/2023 4:53:44,5/29/2023,Jun,2023
6/4/2023,2.78,5/29/2023 6:02:01,5/29/2023,Jun,2023
6/9/2023,1.86,6/5/2023 16:27:19,6/5/2023,Jun,2023
6/10/2023,2.92,6/5/2023 6:40:28,6/5/2023,Jun,2023
6/11/2023,1.92,6/5/2023 7:11:14,6/5/2023,Jun,2023
6/15/2023,2.14,6/12/2023 6:47:04,6/12/2023,Jun,2023
6/17/2023,2.82,6/12/2023 6:51:57,6/12/2023,Jun,2023
6/20/2023,1.09,6/19/2023 12:12:15,6/19/2023,Jun,2023
6/25/2023,1.96,6/19/2023 6:57:53,6/19/2023,Jun,2023
6/28/2023,2.37,6/26/2023 16:19:09,6/26/2023,Jun,2023
6/29/2023,2.04,6/26/2023 6:37:23,6/26/2023,Jun,2023
7/1/2023,2.78,6/26/2023 16:53:05,6/26/2023,Jul,2023
7/8/2023,2.92,7/3/2023 5:13:48,7/3/2023,Jul,2023
7/10/2023,2.06,7/10/2023 13:37:26,7/10/2023,Jul,2023
7/18/2023,2.15,7/17/2023 5:19:06,7/17/2023,Jul,2023
7/20/2023,1.90,7/17/2023 12:02:31,7/17/2023,Jul,2023
7/21/2023,1.98,7/17/2023 12:44:24,7/17/2023,Jul,2023
7/22/2023,2.65,7/17/2023 14:47:15,7/17/2023,Jul,2023
7/25/2023,0.80,7/24/2023 12:15:14,7/24/2023,Jul,2023
7/27/2023,1.98,7/24/2023 8:19:25,7/24/2023,Jul,2023
7/28/2023,2.01,7/24/2023 5:18:02,7/24/2023,Jul,2023
7/29/2023,1.92,7/24/2023 6:55:54,7/24/2023,Jul,2023
7/31/2023,1.89,7/31/2023 4:00:56,7/31/2023,Jul,2023
8/1/2023,2.56,7/31/2023 15:23:38,7/31/2023,Aug,2023
8/3/2023,1.82,7/31/2023 4:09:42,7/31/2023,Aug,2023
8/5/2023,2.70,7/31/2023 5:24:51,7/31/2023,Aug,2023
8/6/2023,2.58,7/31/2023 5:25:28,7/31/2023,Aug,2023
8/8/2023,1.82,8/7/2023 12:42:09,8/7/2023,Aug,2023
8/10/2023,1.92,8/7/2023 5:24:11,8/7/2023,Aug,2023
8/17/2023,2.11,8/14/2023 5:30:32,8/14/2023,Aug,2023
8/19/2023,2.56,8/14/2023 6:24:34,8/14/2023,Aug,2023
8/20/2023,2.60,8/14/2023 6:17:17,8/14/2023,Aug,2023
8/24/2023,2.90,8/21/2023 5:53:03,8/21/2023,Aug,2023
9/9/2023,2.75,9/4/2023 6:05:53,9/4/2023,Sep,2023
9/10/2023,2.67,9/4/2023 15:43:04,9/4/2023,Sep,2023
9/17/2023,2.96,9/11/2023 5:14:11,9/11/2023,Sep,2023
9/19/2023,2.62,9/18/2023 6:52:25,9/18/2023,Sep,2023
9/20/2023,2.62,9/18/2023 13:51:40,9/18/2023,Sep,2023
9/21/2023,2.79,9/18/2023 6:51:24,9/18/2023,Sep,2023
9/22/2023,2.81,9/18/2023 5:51:33,9/18/2023,Sep,2023
10/3/2023,2.75,10/2/2023 13:15:03,10/2/2023,Oct,2023
10/4/2023,2.81,10/2/2023 4:44:29,10/2/2023,Oct,2023
10/5/2023,3.35,10/2/2023 14:01:03,10/2/2023,Oct,2023
10/6/2023,2.87,10/2/2023 5:08:10,10/2/2023,Oct,2023
10/8/2023,2.61,10/2/2023 5:27:46,10/2/2023,Oct,2023
10/9/2023,2.83,10/9/2023 4:18:42,10/9/2023,Oct,2023
10/10/2023,2.90,10/9/2023 13:55:02,10/9/2023,Oct,2023
10/11/2023,3.03,10/9/2023 7:22:19,10/9/2023,Oct,2023
10/12/2023,2.93,10/9/2023 5:04:55,10/9/2023,Oct,2023
10/13/2023,2.65,10/9/2023 14:09:06,10/9/2023,Oct,2023
10/15/2023,2.69,10/9/2023 14:05:21,10/9/2023,Oct,2023
10/16/2023,4.99,10/16/2023 4:45:19,10/16/2023,Oct,2023
10/18/2023,4.77,10/16/2023 14:10:57,10/16/2023,Oct,2023
10/22/2023,2.58,10/16/2023 4:15:03,10/16/2023,Oct,2023
10/23/2023,4.85,10/23/2023 14:02:15,10/23/2023,Oct,2023
10/25/2023,2.65,10/23/2023 5:14:47,10/23/2023,Oct,2023
10/27/2023,4.51,10/23/2023 5:09:15,10/23/2023,Oct,2023
11/3/2023,5.27,10/30/2023 4:27:41,10/30/2023,Nov,2023
11/4/2023,2.63,10/30/2023 4:50:48,10/30/2023,Nov,2023
11/5/2023,2.55,10/30/2023 7:21:27,10/30/2023,Nov,2023
11/6/2023,4.40,11/6/2023 12:01:42,11/6/2023,Nov,2023
11/8/2023,3.13,11/6/2023 12:24:43,11/6/2023,Nov,2023
11/10/2023,4.43,11/6/2023 11:57:58,11/6/2023,Nov,2023
11/17/2023,4.40,11/13/2023 12:04:04,11/13/2023,Nov,2023
11/18/2023,3.08,11/13/2023 11:13:40,11/13/2023,Nov,2023
11/19/2023,6.32,11/13/2023 12:04:56,11/13/2023,Nov,2023
11/22/2023,4.40,11/20/2023 12:02:56,11/20/2023,Nov,2023
11/25/2023,3.22,11/20/2023 9:30:08,11/20/2023,Nov,2023
11/30/2023,6.28,11/27/2023 14:03:27,11/27/2023,Nov,2023
12/4/2023,4.22,12/4/2023 13:22:00,12/4/2023,Dec,2023
12/6/2023,3.12,12/4/2023 11:38:40,12/4/2023,Dec,2023
12/8/2023,4.45,12/4/2023 12:02:58,12/4/2023,Dec,2023
12/10/2023,3.21,12/4/2023 9:02:25,12/4/2023,Dec,2023
12/13/2023,4.37,12/11/2023 12:46:50,12/11/2023,Dec,2023
12/14/2023,4.37,12/11/2023 12:19:46,12/11/2023,Dec,2023
12/15/2023,4.39,12/11/2023 12:02:25,12/11/2023,Dec,2023
12/19/2023,3.98,12/18/2023 12:34:02,12/18/2023,Dec,2023
12/20/2023,4.10,12/18/2023 12:10:14,12/18/2023,Dec,2023
12/21/2023,4.43,12/18/2023 12:29:11,12/18/2023,Dec,2023
12/22/2023,6.43,12/18/2023 12:23:23,12/18/2023,Dec,2023
12/28/2023,6.27,12/25/2023 10:43:43,12/25/2023,Dec,2023
1/8/2024,3.24,1/8/2024 11:50:34,1/8/2024,Jan,2024
1/11/2024,4.12,1/8/2024 12:19:13,1/8/2024,Jan,2024
1/12/2024,4.16,1/8/2024 12:13:43,1/8/2024,Jan,2024
1/13/2024,7.01,1/8/2024 11:55:19,1/8/2024,Jan,2024
1/18/2024,2.54,1/15/2024 10:31:22,1/15/2024,Jan,2024
1/22/2024,4.40,1/22/2024 11:34:20,1/22/2024,Jan,2024
1/24/2024,3.15,1/22/2024 11:52:31,1/22/2024,Jan,2024
1/25/2024,3.20,1/22/2024 11:33:18,1/22/2024,Jan,2024
1/27/2024,8.13,1/22/2024 10:53:37,1/22/2024,Jan,2024
1/29/2024,4.50,1/29/2024 11:54:34,1/29/2024,Jan,2024
1/30/2024,4.14,1/29/2024 11:57:59,1/29/2024,Jan,2024
2/1/2024,9.07,1/29/2024 10:26:24,1/29/2024,Feb,2024
2/8/2024,5.97,2/5/2024 12:16:08,2/5/2024,Feb,2024
2/9/2024,3.93,2/5/2024 10:29:18,2/5/2024,Feb,2024
2/14/2024,6.01,2/12/2024 12:07:43,2/12/2024,Feb,2024
2/16/2024,3.95,2/12/2024 12:10:04,2/12/2024,Feb,2024
2/18/2024,10.03,2/12/2024 10:39:16,2/12/2024,Feb,2024
2/19/2024,3.16,2/19/2024 11:40:13,2/19/2024,Feb,2024
2/20/2024,3.15,2/19/2024 12:03:56,2/19/2024,Feb,2024
2/22/2024,3.20,2/19/2024 11:57:00,2/19/2024,Feb,2024
2/29/2024,4.07,2/26/2024 11:55:44,2/26/2024,Feb,2024
3/1/2024,6.03,2/26/2024 12:11:44,2/26/2024,Mar,2024
3/4/2024,6.82,3/4/2024 10:32:00,3/4/2024,Mar,2024
3/7/2024,6.01,3/4/2024 12:06:25,3/4/2024,Mar,2024
3/8/2024,3.18,3/4/2024 11:57:53,3/4/2024,Mar,2024
3/11/2024,6.02,3/11/2024 10:40:59,3/11/2024,Mar,2024
3/12/2024,4.12,3/11/2024 12:02:52,3/11/2024,Mar,2024
3/13/2024,3.21,3/11/2024 11:51:51,3/11/2024,Mar,2024
3/14/2024,4.07,3/11/2024 11:57:06,3/11/2024,Mar,2024
3/15/2024,2.55,3/11/2024 11:48:45,3/11/2024,Mar,2024
3/17/2024,3.17,3/11/2024 10:51:01,3/11/2024,Mar,2024
3/18/2024,6.04,3/18/2024 11:51:57,3/18/2024,Mar,2024
3/19/2024,3.30,3/18/2024 11:54:43,3/18/2024,Mar,2024
3/20/2024,6.04,3/18/2024 11:54:08,3/18/2024,Mar,2024
3/21/2024,3.21,3/18/2024 11:57:07,3/18/2024,Mar,2024
3/22/2024,3.13,3/18/2024 10:34:54,3/18/2024,Mar,2024
3/25/2024,4.08,3/25/2024 11:58:33,3/25/2024,Mar,2024
3/26/2024,5.92,3/25/2024 11:59:45,3/25/2024,Mar,2024
3/27/2024,4.14,3/25/2024 11:52:18,3/25/2024,Mar,2024
3/31/2024,3.22,3/25/2024 9:02:13,3/25/2024,Mar,2024
4/4/2024,3.58,4/1/2024 11:57:13,4/1/2024,Apr,2024
4/5/2024,6.04,4/1/2024 10:53:28,4/1/2024,Apr,2024
4/8/2024,3.19,4/8/2024 11:46:33,4/8/2024,Apr,2024
4/9/2024,6.01,4/8/2024 11:58:24,4/8/2024,Apr,2024
4/10/2024,6.04,4/8/2024 12:07:21,4/8/2024,Apr,2024
4/11/2024,3.16,4/8/2024 12:26:00,4/8/2024,Apr,2024
4/18/2024,4.15,4/15/2024 12:15:55,4/15/2024,Apr,2024
4/19/2024,5.97,4/15/2024 12:17:03,4/15/2024,Apr,2024
4/20/2024,2.41,4/15/2024 12:17:51,4/15/2024,Apr,2024
4/21/2024,8.07,4/15/2024 12:06:58,4/15/2024,Apr,2024
4/22/2024,3.16,4/22/2024 12:16:40,4/22/2024,Apr,2024
4/23/2024,6.01,4/22/2024 12:15:29,4/22/2024,Apr,2024
4/25/2024,3.13,4/22/2024 12:14:50,4/22/2024,Apr,2024
5/1/2024,4.09,4/29/2024 12:27:13,4/29/2024,May,2024
5/2/2024,6.02,4/29/2024 12:13:49,4/29/2024,May,2024
5/3/2024,4.73,4/29/2024 12:31:33,4/29/2024,May,2024
5/7/2024,4.16,5/6/2024 12:32:57,5/6/2024,May,2024
5/8/2024,4.16,5/6/2024 12:29:46,5/6/2024,May,2024
5/9/2024,6.01,5/6/2024 12:32:28,5/6/2024,May,2024
5/20/2024,4.13,5/20/2024 12:09:25,5/20/2024,May,2024
5/21/2024,4.02,5/20/2024 12:25:01,5/20/2024,May,2024
5/22/2024,4.17,5/20/2024 12:09:09,5/20/2024,May,2024
5/23/2024,4.19,5/20/2024 12:09:30,5/20/2024,May,2024
5/24/2024,4.13,5/20/2024 12:22:53,5/20/2024,May,2024
5/30/2024,4.17,5/27/2024 12:23:21,5/27/2024,May,2024
5/31/2024,4.06,5/27/2024 12:20:00,5/27/2024,May,2024
6/2/2024,6.01,5/27/2024 12:14:01,5/27/2024,Jun,2024
6/3/2024,4.09,6/3/2024 12:12:59,6/3/2024,Jun,2024
6/12/2024,4.15,6/10/2024 12:13:54,6/10/2024,Jun,2024
6/14/2024,4.08,6/10/2024 12:18:22,6/10/2024,Jun,2024
6/16/2024,3.10,6/10/2024 10:58:04,6/10/2024,Jun,2024
6/17/2024,4.11,6/17/2024 12:12:47,6/17/2024,Jun,2024
6/18/2024,3.16,6/17/2024 12:26:14,6/17/2024,Jun,2024
6/19/2024,3.20,6/17/2024 12:20:44,6/17/2024,Jun,2024
6/20/2024,3.13,6/17/2024 8:07:37,6/17/2024,Jun,2024
7/1/2024,3.19,7/1/2024 12:25:49,7/1/2024,Jul,2024
7/2/2024,3.14,7/1/2024 12:36:25,7/1/2024,Jul,2024
7/3/2024,4.13,7/1/2024 12:29:00,7/1/2024,Jul,2024
7/15/2024,3.19,7/15/2024 12:16:37,7/15/2024,Jul,2024
7/16/2024,3.18,7/15/2024 12:26:05,7/15/2024,Jul,2024
7/17/2024,3.19,7/15/2024 12:34:18,7/15/2024,Jul,2024
7/19/2024,4.09,7/15/2024 13:02:32,7/15/2024,Jul,2024
7/24/2024,3.17,7/22/2024 12:13:18,7/22/2024,Jul,2024
7/25/2024,4.09,7/22/2024 12:25:55,7/22/2024,Jul,2024
7/26/2024,4.09,7/22/2024 12:33:50,7/22/2024,Jul,2024
8/1/2024,3.16,7/29/2024 12:21:51,7/29/2024,Aug,2024
8/5/2024,4.11,8/5/2024 12:37:05,8/5/2024,Aug,2024
8/6/2024,4.10,8/5/2024 12:49:50,8/5/2024,Aug,2024
8/12/2024,4.07,8/12/2024 12:31:37,8/12/2024,Aug,2024
8/13/2024,4.13,8/12/2024 12:46:55,8/12/2024,Aug,2024
8/14/2024,4.08,8/12/2024 12:47:16,8/12/2024,Aug,2024
8/15/2024,4.20,8/12/2024 12:54:58,8/12/2024,Aug,2024
8/16/2024,2.02,8/12/2024 12:45:56,8/12/2024,Aug,2024
8/19/2024,2.08,8/19/2024 12:46:18,8/19/2024,Aug,2024
8/20/2024,2.08,8/19/2024 12:44:17,8/19/2024,Aug,2024
8/21/2024,2.06,8/19/2024 12:31:38,8/19/2024,Aug,2024
8/22/2024,2.08,8/19/2024 12:45:34,8/19/2024,Aug,2024
8/23/2024,2.21,8/19/2024 12:43:16,8/19/2024,Aug,2024
8/26/2024,3.18,8/26/2024 12:45:51,8/26/2024,Aug,2024
8/27/2024,3.15,8/26/2024 12:54:06,8/26/2024,Aug,2024
8/28/2024,3.17,8/26/2024 13:01:17,8/26/2024,Aug,2024
8/29/2024,3.19,8/26/2024 12:51:13,8/26/2024,Aug,2024
9/3/2024,4.22,9/2/2024 10:56:01,9/2/2024,Sep,2024
9/4/2024,4.17,9/2/2024 14:22:08,9/2/2024,Sep,2024
9/5/2024,4.13,9/2/2024 13:36:29,9/2/2024,Sep,2024
9/6/2024,4.08,9/2/2024 13:38:26,9/2/2024,Sep,2024
9/8/2024,8.02,9/2/2024 11:54:21,9/2/2024,Sep,2024
9/9/2024,3.06,9/9/2024 13:44:36,9/9/2024,Sep,2024
9/10/2024,3.06,9/9/2024 14:42:34,9/9/2024,Sep,2024
9/11/2024,2.00,9/9/2024 12:58:04,9/9/2024,Sep,2024
9/12/2024,3.05,9/9/2024 14:12:19,9/9/2024,Sep,2024
9/18/2024,3.01,9/16/2024 10:01:20,9/16/2024,Sep,2024
9/19/2024,3.06,9/16/2024 9:48:41,9/16/2024,Sep,2024
9/20/2024,3.05,9/16/2024 10:01:32,9/16/2024,Sep,2024
9/23/2024,3.06,9/23/2024 10:00:11,9/23/2024,Sep,2024
9/24/2024,3.92,9/23/2024 10:07:52,9/23/2024,Sep,2024
10/2/2024,4.00,9/30/2024 13:07:51,9/30/2024,Oct,2024
10/3/2024,4.00,9/30/2024 13:51:34,9/30/2024,Oct,2024
10/4/2024,3.91,9/30/2024 14:50:33,9/30/2024,Oct,2024
10/9/2024,4.01,10/7/2024 14:21:41,10/7/2024,Oct,2024
10/10/2024,4.00,10/7/2024 14:03:27,10/7/2024,Oct,2024
10/18/2024,4.00,10/14/2024 14:13:30,10/14/2024,Oct,2024
10/20/2024,5.24,10/14/2024 11:52:35,10/14/2024,Oct,2024
10/21/2024,3.90,10/21/2024 14:16:31,10/21/2024,Oct,2024
10/22/2024,3.06,10/21/2024 14:45:57,10/21/2024,Oct,2024
10/23/2024,3.06,10/21/2024 14:14:05,10/21/2024,Oct,2024
10/25/2024,3.06,10/21/2024 14:48:25,10/21/2024,Oct,2024
10/28/2024,5.33,10/28/2024 14:35:50,10/28/2024,Oct,2024
10/29/2024,2.17,10/28/2024 14:36:11,10/28/2024,Oct,2024
10/30/2024,2.84,10/28/2024 14:42:44,10/28/2024,Oct,2024
11/10/2024,2.25,11/4/2024 10:04:17,11/4/2024,Nov,2024
11/10/2024,1.13,11/4/2024 11:19:06,11/4/2024,Nov,2024
11/10/2024,0.37,11/4/2024 13:29:37,11/4/2024,Nov,2024
11/10/2024,0.73,11/4/2024 16:00:47,11/4/2024,Nov,2024
11/11/2024,4.66,11/11/2024 5:57:57,11/11/2024,Nov,2024
11/11/2024,0.35,11/11/2024 13:48:24,11/11/2024,Nov,2024
11/12/2024,7.44,11/11/2024 6:20:53,11/11/2024,Nov,2024
11/13/2024,8.25,11/11/2024 5:15:57,11/11/2024,Nov,2024
11/14/2024,4.38,11/11/2024 5:30:21,11/11/2024,Nov,2024
11/14/2024,3.49,11/11/2024 10:04:39,11/11/2024,Nov,2024
11/24/2024,6.11,11/18/2024 11:15:06,11/18/2024,Nov,2024
11/25/2024,3.23,11/25/2024 9:52:14,11/25/2024,Nov,2024
11/26/2024,1.90,11/25/2024 11:08:35,11/25/2024,Nov,2024
12/4/2024,3.06,12/2/2024 14:23:14,12/2/2024,Dec,2024
12/5/2024,3.06,12/2/2024 14:12:44,12/2/2024,Dec,2024
12/6/2024,3.00,12/2/2024 14:30:57,12/2/2024,Dec,2024
12/8/2024,3.00,12/2/2024 12:10:09,12/2/2024,Dec,2024
12/10/2024,2.01,12/9/2024 14:43:19,12/9/2024,Dec,2024
12/12/2024,3.01,12/9/2024 14:27:45,12/9/2024,Dec,2024
12/13/2024,3.01,12/9/2024 14:43:49,12/9/2024,Dec,2024
12/17/2024,3.00,12/16/2024 13:28:34,12/16/2024,Dec,2024
12/18/2024,2.01,12/16/2024 9:38:40,12/16/2024,Dec,2024
12/19/2024,3.01,12/16/2024 14:33:08,12/16/2024,Dec,2024
12/20/2024,2.01,12/16/2024 10:44:00,12/16/2024,Dec,2024
12/21/2024,3.01,12/16/2024 14:01:17,12/16/2024,Dec,2024
12/23/2024,3.01,12/23/2024 14:33:14,12/23/2024,Dec,2024
12/24/2024,3.00,12/23/2024 9:50:10,12/23/2024,Dec,2024
12/26/2024,3.01,12/23/2024 7:55:19,12/23/2024,Dec,2024
12/27/2024,2.93,12/23/2024 7:22:03,12/23/2024,Dec,2024
12/29/2024,3.01,12/23/2024 10:10:33,12/23/2024,Dec,2024
12/30/2024,3.02,12/30/2024 12:55:45,12/30/2024,Dec,2024
1/1/2025,4.01,12/30/2024 8:02:14,12/30/2024,Jan,2025
